U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)		
25.02.2022	16:58:17				
1.50103	-0.0095	0.01	0	12	0
1.63156	-0.0088	0.01	0	14	0
5.27939	0.01193	0.01	0	6	0
4.65694	0.00667	0.01	0	18	0
4.62885	0.00719	0.01	0	24	0
5.55093	0.01175	0.01	0	4	0
4.85435	0.00586	0.01	0	23	0
5.6691	0.00996	0.01	0	35	0
5.65137	0.00643	0.01	0	3	0
5.01308	0.01282	0.01	0	1	0
2.82763	-0.00473	0.01	0	24	0
2.73181	-0.00355	0.01	0	16	0
3.01328	-0.00098	0.01	0	103	0
3.0227	-0.00501	0.01	0	58	0
3.62823	-0.00724	0.01	0	9	0
3.17904	-0.00673	0.01	0	8	0
3.13338	-0.00291	0.01	0	25	0
1.95745	-0.00866	0.01	0	3	0
2.26103	-0.01068	0.01	0	1	0
2.2613	-0.0117	0.01	0	9	0
2.73595	-0.0087	0.01	0	5	0
1.87399	-0.01373	0.01	0	11	0
2.04385	-0.00902	0.01	0	4	0
2.63558	-0.00333	0.01	0	3	0
1.59167	-0.01277	0.01	0	2	0
2.05178	-0.01128	0.01	0	6	0
2.434	-0.0092	0.01	0	10	0
1.53146	-0.01393	0.01	0	20	0
1.93581	-0.0077	0.01	0	19	0
1.56938	-0.00904	0.01	0	17	0
4.69799	0.01094	0.01	0	33	0
5.38544	0.01172	0.01	0	0	0
5.97611	0.01456	0.01	0	6	0
3.9603	-0.00309	0.01	0	91	0
5.99377	0.00946	0.01	0	8	0
4.87546	0.00508	0.01	0	26	0
4.35188	0.00746	0.01	0	47	0
2.70835	-0.00961	0.01	0	0	0
2.8557	-0.00714	0.01	0	13	0
2.88934	-0.00552	0.01	0	43	0
3.18373	-0.00414	0.01	0	17	0
3.59571	-0.00403	0.01	0	35	0
3.94972	0.00402	0.01	0	59	0
1.95038	-0.01232	0.01	0	3	0
2.35987	-0.01168	0.01	0	6	0
2.87558	-0.00365	0.01	0	5	0
2.65211	-0.00517	0.01	0	22	0
1.85997	-0.01186	0.01	0	13	0
2.50637	-0.00789	0.01	0	14	0
1.77571	-0.01365	0.01	0	11	0
1.66183	-0.00966	0.01	0	14	0
1.73152	-0.00703	0.01	0	20	0
1.69375	-0.01126	0.01	0	5	0
2.35255	-0.01915	0.01	1.2	41	0
2.02128	-0.01536	0.01	0	6	0
2.30078	-0.01052	0.01	0	9	0
2.89619	-0.00334	0.01	0	25	0
2.98329	-0.00322	0.01	0	23	0
1.64054	-0.01061	0.01	0	12	0
1.83629	-0.01568	0.01	0	2	0
1.62821	-0.01374	0.01	0	0	0
1.74471	-0.01187	0.01	0	6	0
1.82346	-0.00833	0.01	0	0	0
1.88278	-0.00995	0.01	0	5	0
2.16762	-0.00852	0.01	0	25	0
2.55794	-0.01077	0.01	0	9	0
1.64859	-0.01316	0.01	0	9	0
1.92581	-0.00908	0.01	0	10	0
2.2813	-0.00394	0.01	0	5	0
2.26596	-0.00623	0.01	0	8	0
2.03764	-0.00878	0.01	0	1	0
2.16132	-0.0085	0.01	0	0	0
1.9491	-0.0118	0.01	0	9	0
2.52012	-0.00562	0.01	0	25	0
1.75982	-0.007	0.01	0	4	0
1.75297	-0.00932	0.01	0	5	0
26.02.2022	18:00:25				
0					
13.37					
5.13604	0.01093	0.01	0	6	0
5.88639	0.01921	0.01	0	9	0
5.10491	0.01437	0.01	0	2	0
3.72086	0.00149	0.01	0	169	0
5.90453	0.00554	0.01	0	2	0
5.46833	0.00408	0.01	0	45	0
5.08763	0.003	0.01	0	62	0
4.9752	0.0125	0.01	0	17	0
2.58013	-0.00525	0.01	0	17	0
2.60248	-0.00389	0.01	0	62	0
3.1323	-0.00934	0.01	0	4	0
2.83446	-0.00833	0.01	0	12	0
3.38626	-0.00372	0.01	0	59	0
3.1015	-0.00573	0.01	0	14	0
3.75323	-0.00238	0.01	0	37	0
1.89453	-0.01497	0.01	0	0	0
1.92008	-0.01526	0.01	0	11	0
2.78578	-0.00651	0.01	0	21	0
2.79588	-0.00578	0.01	0	8	0
1.66041	-0.01215	0.01	0	0	0
2.33107	-0.0088	0.01	0	14	0
1.60644	-0.01752	0.01	0	1	0
1.52193	-0.01676	0.01	0.1	19	0
1.58278	-0.01135	0.01	0	0	0
1.49844	-0.00891	0.01	0	5	0
1.62967	-0.01131	0.01	0	9	0
5.18351	0.00949	0.01	0	6	0
4.65036	0.0041	0.01	0	13	0
4.54533	-0.00245	0.01	0	89	0
5.60335	0.01271	0.01	0	5	0
4.85139	0.0057	0.01	0	21	0
5.68651	0.01007	0.01	0	40	0
5.67256	0.00598	0.01	0	0	0
5.03375	0.0111	0.01	0	4	0
2.83062	-0.00604	0.01	0	23	0
2.71483	-0.00499	0.01	0	19	0
3.0194	-0.00546	0.01	0	4	0
3.00814	-0.00545	0.01	0	48	0
3.6151	-0.00688	0.01	0	5	0
3.17484	-0.00643	0.01	0	7	0
3.13699	-0.00393	0.01	0	26	0
1.96513	-0.00888	0.01	0	0	0
2.25893	-0.00907	0.01	0	7	0
2.26762	-0.00707	0.01	0	35	0
2.73356	-0.00959	0.01	0	0	0
1.87189	-0.0131	0.01	0	1	0
2.04749	-0.01229	0.01	0	5	0
2.63861	-0.00535	0.01	0	6	0
1.58373	-0.01053	0.01	0	3	0
2.03611	-0.03304	0.01	0.6	67	0
2.43332	-0.00846	0.01	0	6	0
1.52908	-0.00604	0.01	0	190	0
1.93725	-0.00925	0.01	0	5	0
1.57585	-0.00644	0.01	0.1	81	0
4.65402	0.00612	0.01	0	61	0
5.31041	0.01231	0.01	0	9	0
6.04051	-0.00134	0.01	0	65	0
3.87897	-0.02433	0.01	0.3	102	0
5.95992	0.01088	0.01	0	8	0
4.87557	0.00343	0.01	0	75	0
4.34703	0.00235	0.01	0	19	0
2.71587	-0.00851	0.01	0	1	0
2.84886	-0.00644	0.01	0	24	0
2.88637	-0.00406	0.01	0	3	0
3.19239	-0.00377	0.01	0	8	0
3.61033	-0.00378	0.01	0	65	0
3.9444	-0.00352	0.01	0	25	0
1.93768	-0.01268	0.01	0	4	0
